Date,Open,High,Low,Close,Volume
2013-06-06,430.54,431.55,422.03,429.52,5177400
2013-06-07,433.58,438.36,431.04,437.02,5369200
2013-06-10,439.4,443.84,438.4,442.24,4693000
2013-06-11,440.33,441.84,438.12,437.06,3528300
2013-06-12,441.08,441.35,433.2,433.17,4426100
2013-06-13,432.87,438.19,431.13,435.66,4155200
2013-06-14,438.41,440.7,435.43,434.69,4506700
2013-06-17,437.97,443.05,437.5,440.26,4308500
2013-06-18,442.67,448.82,442.52,447.4,4350000
2013-06-19,449.0,453.72,447.07,447.43,5853600
2013-06-20,445.33,448.82,440.01,439.51,6769200
2013-06-21,442.51,443.28,434.9,437.62,7994300
2013-06-24,434.31,436.52,430.01,432.08,6056300
2013-06-25,436.99,438.2,430.64,430.3,5125500
2013-06-26,435.24,437.36,433.66,434.0,3676400
2013-06-27,437.76,440.69,436.69,435.7,3867300
2013-06-28,435.82,439.27,435.46,437.34,4716100
2013-07-01,441.57,444.37,440.85,441.07,3462400
2013-07-02,443.44,443.84,437.0,438.31,3797000
2013-07-03,438.31,442.92,437.61,440.35,2101700
2013-07-05,443.34,446.03,442.01,443.85,3416500
2013-07-08,447.93,451.44,446.87,449.62,3953700
2013-07-09,453.8,454.77,447.31,449.7,3973500
2013-07-10,450.04,453.87,448.51,450.06,3429500
2013-07-11,454.8,458.69,452.56,457.14,5187700
2013-07-12,458.28,459.78,455.91,458.52,5155600
2013-07-15,460.42,462.27,456.47,459.36,3935600
2013-07-16,461.83,462.25,455.24,456.84,3980700
2013-07-17,458.78,461.7,456.44,456.31,3023400
2013-07-18,457.78,458.28,449.91,452.4,7296100
2013-07-19,441.65,449.79,436.17,445.41,14773700
2013-07-22,449.32,454.63,446.83,452.41,5828100
2013-07-23,453.65,454.8,448.11,448.98,4106600
2013-07-24,451.94,453.45,448.67,448.54,4172500
2013-07-25,445.27,446.75,441.39,440.98,6024600
2013-07-26,441.84,443.33,439.35,439.81,3568600
2013-07-29,440.8,445.74,438.8,438.29,3797800
2013-07-30,441.08,446.13,438.79,442.58,3524300
2013-07-31,444.83,446.58,441.44,441.01,4363200
2013-08-01,445.83,450.59,445.83,449.19,4292700
2013-08-02,450.03,451.81,448.73,450.35,3440600
2013-08-05,451.0,451.07,447.92,449.58,2629100
2013-08-06,450.66,453.16,446.19,445.39,3023400
2013-08-07,445.85,447.55,442.88,442.45,2768600
2013-08-08,446.07,446.25,440.99,443.45,2987000
2013-08-09,443.62,446.09,443.34,442.33,2657200
2013-08-12,441.79,441.84,439.18,439.89,2764200
2013-08-13,441.76,442.59,436.46,437.78,2850200
2013-08-14,437.54,438.47,431.96,432.09,4179900
2013-08-15,430.61,430.85,427.4,427.06,3752300
2013-08-16,429.03,429.61,426.67,425.68,3362700
2013-08-19,427.25,434.37,427.12,430.03,3635300
2013-08-20,432.55,434.43,430.16,429.91,2475100
2013-08-21,433.7,436.82,431.63,431.85,3527700
2013-08-22,434.72,435.74,433.5,434.03,1746200
2013-08-23,437.28,437.36,433.25,432.29,2162200
2013-08-26,433.38,435.82,431.41,430.4,2112800
2013-08-27,428.2,430.25,422.37,422.33,3481100
2013-08-28,423.54,426.11,422.3,421.53,2669700
2013-08-29,422.95,428.58,422.71,424.95,2968000
2013-08-30,426.28,427.42,421.2,420.71,3737100
2013-09-03,425.58,431.48,425.38,427.41,4110400
2013-09-04,428.57,435.12,425.99,433.0,4097600
2013-09-05,435.12,438.3,434.18,436.94,2592100
2013-09-06,439.57,440.24,435.24,436.95,3134800
2013-09-09,440.21,443.21,439.56,441.16,2478300
2013-09-10,443.35,444.33,440.35,441.47,2584700
2013-09-11,442.61,446.81,441.39,445.2,3233200
2013-09-12,447.02,447.27,443.34,443.64,2199100
2013-09-13,445.58,446.17,440.77,441.67,2660600
2013-09-16,446.43,446.83,440.78,441.01,2682900
2013-09-17,442.05,442.54,438.86,440.19,2528200
2013-09-18,441.52,450.3,439.89,448.75,3883800
2013-09-19,451.3,451.3,446.03,446.29,3207600
2013-09-20,447.52,450.38,446.14,448.64,8723000
2013-09-23,446.4,449.11,440.95,440.38,3568000
2013-09-24,441.59,443.39,439.05,440.55,2984600
2013-09-25,441.62,441.62,436.17,435.78,3310200
2013-09-26,437.51,439.73,435.87,436.25,2529200
2013-09-27,435.78,437.12,434.03,435.36,2527000
2013-09-30,432.92,438.78,432.53,435.13,3457600
2013-10-01,438.48,442.18,438.38,440.63,3382100
2013-10-02,439.72,443.02,437.27,441.13,3001700
2013-10-03,442.34,445.38,434.42,435.22,4249800
2013-10-04,435.87,437.12,433.38,433.36,2726100
2013-10-07,432.11,435.36,430.44,430.07,2596800
2013-10-08,431.04,431.37,424.22,424.08,3901800
2013-10-09,426.54,429.71,419.92,425.16,5322400
2013-10-10,430.31,432.79,428.5,431.32,4527400
2013-10-11,431.4,435.11,431.03,433.18,2828300
2013-10-14,431.71,436.49,431.08,435.23,2496400
2013-10-15,436.24,441.16,435.37,438.16,3195600
2013-10-16,441.28,447.49,440.35,446.12,4030200
2013-10-17,444.83,446.78,441.21,441.53,8545000
2013-10-18,486.47,505.83,485.18,502.44,23219400
2013-10-21,503.84,507.6,497.91,498.41,7283700
2013-10-22,500.62,504.61,496.04,500.25,4433700
2013-10-23,498.63,515.44,498.45,512.37,5346300
